hash;plik;dlugosc;tier;obszar;rules;fullContext;EN
4929A68DDF68E0FFC53775C87A0CE02B;InnerRangeTranslations_1.xml;22;1;system/ogolne;;;Copy Code to Clipboard
0D8D58008EF5DD7AFCE337373EF73993;InnerRangeTranslations_1.xml;5;1;harmonogramy/czas;;;Date:
4A68ADC129521145C77C77080CBD68D8;InnerRangeTranslations_1.xml;14;1;komunikacja/sprzet;;;Serial Number:
5C729507314965C579EA2838370B9A20;InnerRangeTranslations_1.xml;15;1;system/ogolne;;;Generated Code:
D6FFFF2E806AF7E9396500A5FF2AFD71;InnerRangeTranslations_1.xml;47;2;komunikacja/sprzet;;;Code Generator for Enabling ATM Firmware Upload
97F30FB5D226E484FE9B4D00F38F0180;InnerRangeTranslations_1.xml;32;1;system/ogolne;;;No Encryption Key was specified.
FA59967F2459F5FBF9496B005F337C50;InnerRangeTranslations_1.xml;58;2;system/ogolne;;;The Encryption Key must be exactly 32 Hex characters long.
3BF3A369D264C0A2A954B5F2B3C32D86;InnerRangeTranslations_1.xml;52;2;system/ogolne;;;The Encryption Key must contain only hex characters.
3DA75C03E846C8247090591B2C444BE0;InnerRangeTranslations_1.xml;36;1;automatyka/sterowanie;;;Could not find LAN module for output
954AD1279CF1D9F401488667EA615D4C;InnerRangeTranslations_1.xml;17;1;automatyka/sterowanie;paramCheck=true;;Output set to {0}
84C688925F17CFB59EA87835F7DDFECD;InnerRangeTranslations_1.xml;36;1;dostep/przejscia;;;Could not find LAN module for reader
ED53E1AAAB2C6ED940B8A59A6D2CE8F6;InnerRangeTranslations_1.xml;19;1;dostep/przejscia;;;Reader command sent
EEF2937ED245CB3A20AE3346B8583DF8;InnerRangeTranslations_1.xml;47;2;dostep/przejscia;;;Could not find LAN module for SIFER/OSDP Reader
F453AD901DCDEE0049593F054367554C;InnerRangeTranslations_1.xml;41;2;dostep/przejscia;;;Could not find LAN module for OSDP Reader
54EA4EB7949590F2C02158B4AA59CAE2;InnerRangeTranslations_1.xml;31;1;dostep/przejscia;;;OSDP Reader comset command sent
45B5B823920FD0D9E832F06D411EC215;InnerRangeTranslations_1.xml;43;2;uzbrajanie/strefy;;;Could not find LAN module for siren control
3FED4290EC143D5E3BA06E27328CEBBA;InnerRangeTranslations_1.xml;16;1;system/ogolne;;;Sirens triggered
EDB335178E3673B3E0E095249A517763;InnerRangeTranslations_1.xml;49;2;komunikacja/sprzet;;;Could not find LAN module for remote fob feedback
A30412E7AC8A5F140F8D53EF10297094;InnerRangeTranslations_1.xml;17;1;system/ogolne;;;Fob Feedback Sent
3300385B001BA502F214F6BC6E7038AD;InnerRangeTranslations_1.xml;43;2;automatyka/sterowanie;;;Could not find LAN module to control buzzer
0D8C53496E747DF348FF5BE110D13FD4;InnerRangeTranslations_1.xml;10;1;system/ogolne;paramCheck=true;;Buzzer {0}
00D23A76E43B46DAE9EC7AA9DCBEBB32;InnerRangeTranslations_1.xml;7;1;system/ogolne;unique=EnabledWithInherit;00D23A76E43B46DAE9EC7AA9DCBEBB32;Enabled
B9F5C797EBBF55ADCCDD8539A65A0241;InnerRangeTranslations_1.xml;8;1;system/ogolne;unique=EnabledWithInherit;B9F5C797EBBF55ADCCDD8539A65A0241;Disabled
88B6BF462D5653D2ED6581EA44CEC605;InnerRangeTranslations_1.xml;37;1;komunikacja/sprzet;;;LAN module is not an Integriti module
6767423F7C75EAE1A08B94AE06AE2C11;InnerRangeTranslations_1.xml;16;1;system/ogolne;paramCheck=true;;Battery Test {0}
8428552D86C0D262A542A528AF490AFA;InnerRangeTranslations_1.xml;7;1;system/ogolne;;;Started
C23E2B09EBE6BF4CB5E2A9ABE85C0BE2;InnerRangeTranslations_1.xml;7;1;system/ogolne;;;Stopped
90033CCC1F7153011E1014235950B9BE;InnerRangeTranslations_1.xml;45;2;komunikacja/sprzet;;;Could not find LAN module for firmware update
04037FC7A6D54676E615CC4DF9352A2A;InnerRangeTranslations_1.xml;7;1;system/ogolne;paramCheck=true;;{0} {1}
11D33EA4EF5A2BA240697870A7C2B158;InnerRangeTranslations_1.xml;77;2;komunikacja/sprzet;;;A firmware update was attempted while another update is currently in progress
87E2F661801720E8404B3A4D8B0BE491;InnerRangeTranslations_1.xml;60;2;komunikacja/sprzet;;;Module firmware update failed: One or more modules timed out
986C5FCEC148CCD08631F0E8770AC743;InnerRangeTranslations_1.xml;52;2;system/ogolne;;;Could not find the specified IR Wireless RF Gateway.
2D6C02C4C659B7402F7AB1E45B55BE45;InnerRangeTranslations_1.xml;12;1;komunikacja/sprzet;unique=FirmwareModuleType;;LCD Terminal
51B0157E7D282076B557F14C356F0045;InnerRangeTranslations_1.xml;16;1;komunikacja/sprzet;unique=FirmwareModuleType;;Elite X Terminal
4BB581CEC103E207DF053E7C05946290;InnerRangeTranslations_1.xml;13;1;komunikacja/sprzet;unique=UnibusModuleType;;Zone Expander
A74BA8343D8DFDA196181FB899718408;InnerRangeTranslations_1.xml;13;1;komunikacja/sprzet;;;Mini Expander
513257B0D552225F0751FAEC41FF797D;InnerRangeTranslations_1.xml;16;1;komunikacja/sprzet;;;32 Zone Expander
DD4116247BD8BCDC8AD596AE87005996;InnerRangeTranslations_1.xml;16;1;komunikacja/sprzet;;;16 Zone Expander
36C2BFBB0CA7A4A3B21FEBF5B65C90E5;InnerRangeTranslations_1.xml;15;1;dostep/przejscia;;;2 Door Expander
B423ECF7FD67DADD4E9E14B07ADE39CC;InnerRangeTranslations_1.xml;29;1;dostep/przejscia;;;Intelligent LAN Access Module
73B1AAD59B77E1D57458DF5120E80FC7;InnerRangeTranslations_1.xml;20;1;dostep/przejscia;;;SLAM 2 Door Expander
6B2F9C13E5974615DB528544F7D9BA55;InnerRangeTranslations_1.xml;15;1;system/ogolne;unique=FirmwareModuleType;;Ethernet Bridge
D259E7427EB9EAE48B5DCAC156AFEE01;InnerRangeTranslations_1.xml;35;1;komunikacja/sprzet;;;Waiting for modules to get ready...
D2F2FD1C51F867E304A9FACA66490681;InnerRangeTranslations_1.xml;48;2;komunikacja/sprzet;;;All modules are ready, beginning firmware update
72497F3765477EF671EEE5D190B008CD;InnerRangeTranslations_1.xml;57;2;komunikacja/sprzet;;;Module firmware update failed: A packet could not be sent
D6B80B1E144F9BBE64F5B8441D855A20;InnerRangeTranslations_1.xml;32;1;komunikacja/sprzet;paramCheck=true;;Updating module firmware {0}%...
6914612EDBA66C518882778CBD71E8C3;InnerRangeTranslations_1.xml;49;2;komunikacja/sprzet;;;Module firmware update failed: LANResponse failed
E4707A2E342831C2E4A012676EDC40FE;InnerRangeTranslations_1.xml;87;2;komunikacja/sprzet;paramCheck=true;;Firmware sent to {0} modules, restarting modules to apply. This can take over a minute.
A2837F57CB201784F710764F57637929;InnerRangeTranslations_1.xml;52;2;komunikacja/sprzet;paramCheck=true;;Module Type: {0}, Number: {1} restarted successfully
393131F347210413067494EFFF076219;InnerRangeTranslations_1.xml;53;2;komunikacja/sprzet;paramCheck=true;;Updated successfully on Module Type: {0}, Number: {1}
7A5F7DA66DC3336E8AA8A54CB175DE89;InnerRangeTranslations_1.xml;7;1;system/ogolne;paramCheck=true;;{0}:{1}
256CBD53FA360B1976B22E212F3D9659;InnerRangeTranslations_1.xml;57;2;komunikacja/sprzet;paramCheck=true;;After waiting 80 seconds, {0} of {1} modules updated. {2}
8F41AA1B97FD6F79DD0C96BF51BA7A29;InnerRangeTranslations_1.xml;68;2;komunikacja/sprzet;paramCheck=true;;Firmware update was detected successfully across {0} of {1} modules.
BD4DE0D05A1F065B4B35E5F7AC1105C4;InnerRangeTranslations_1.xml;12;1;uzytkownicy/uprawnienia;;;Unknown User
1499CE4F12E7BEAA07AD3A9D23559420;InnerRangeTranslations_1.xml;12;1;dostep/przejscia;;;Unknown Door
07E4935A9A3EE5D787AAC9AA4319ED60;InnerRangeTranslations_1.xml;14;1;dostep/przejscia;;;Unknown Reader
41AB53D19270427D6D767150FA2B33C1;InnerRangeTranslations_1.xml;32;1;komunikacja/sprzet;;;The LAN module has gone offline.
134ABB0987ABC65EE189B6B9E2E2C0B9;InnerRangeTranslations_1.xml;75;2;system/ogolne;paramCheck=true;;Pairing the specified device type is not supported by this product variant.
78F227050BDF14EB2C5E520A8CCFC03F;InnerRangeTranslations_1.xml;96;2;uzytkownicy/uprawnienia;paramCheck=true;;Cannot start a pairing operation while one belonging to a different user is already in progress.
F65C8D32A9C22F4746BFFC568C11D139;InnerRangeTranslations_1.xml;82;2;system/ogolne;;;The pairing operation was cancelled because another pairing operation was started.
231C789ABDC4DD80570E6961C0EF9BFB;InnerRangeTranslations_1.xml;23;1;system/ogolne;paramCheck=true;;No RF device was found.
39B5DDBBC9A06149A24969496563FC5B;InnerRangeTranslations_1.xml;11;1;dostep/przejscia;;;Door Access
FCDF8A82EBA24E303B63B2E49A507ECB;InnerRangeTranslations_1.xml;9;1;system/ogolne;;;Requested
919607E0CFF639E8B4CE40BAE3644F3D;InnerRangeTranslations_1.xml;21;1;dostep/przejscia;paramCheck=true;;Credential Number {0}
AD025D1F9D8EEAD468FA905CF402C8A6;InnerRangeTranslations_1.xml;7;1;uzytkownicy/uprawnienia;;;User is
CEA91CC9D2EDA0CD9EDF22A39275A6B7;InnerRangeTranslations_1.xml;19;1;system/ogolne;;;Expired / Cancelled
DEEC4FF19974F12ED781CB9A59064214;InnerRangeTranslations_1.xml;4;1;uzbrajanie/strefy;unique=ConditionStatementType;C10D0AB41101ADDCE07EC3E3C419EBD3;Area
